t=2022-07-06T08:53:06+0000 lvl=info msg="no configuration paths supplied"
t=2022-07-06T08:53:06+0000 lvl=info msg="using configuration at default config path" path=/home/gitpod/.config/ngrok/ngrok.yml
t=2022-07-06T08:53:06+0000 lvl=info msg="open config file" path=/home/gitpod/.config/ngrok/ngrok.yml err=nil
t=2022-07-06T08:53:06+0000 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040
t=2022-07-06T08:53:06+0000 lvl=info msg="tunnel session started" obj=tunnels.session
t=2022-07-06T08:53:06+0000 lvl=info msg="client session established" obj=csess id=155f1626566d
t=2022-07-06T08:53:06+0000 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=//localhost:25565 url=tcp://2.tcp.eu.ngrok.io:19641
t=2022-07-06T08:57:52+0000 lvl=info msg="join connections" obj=join id=19895899e3e6 l=[::1]:25565 r=103.160.194.219:6932
t=2022-07-06T08:57:53+0000 lvl=info msg="join connections" obj=join id=e82535145c50 l=[::1]:25565 r=103.160.194.219:6938
t=2022-07-06T08:58:41+0000 lvl=info msg="join connections" obj=join id=5911980c103e l=[::1]:25565 r=103.160.194.219:6933
t=2022-07-06T09:00:10+0000 lvl=info msg="join connections" obj=join id=b5ff6992671d l=[::1]:25565 r=103.160.194.219:11841
t=2022-07-06T09:00:11+0000 lvl=info msg="join connections" obj=join id=3ec332b03f0c l=[::1]:25565 r=103.160.194.219:11845
t=2022-07-06T09:03:50+0000 lvl=info msg="join connections" obj=join id=ce0e64b5b3cb l=[::1]:25565 r=103.160.194.219:13954
t=2022-07-06T09:04:14+0000 lvl=info msg="join connections" obj=join id=1e9a4ab3b02c l=[::1]:25565 r=103.160.194.219:13971
t=2022-07-06T09:47:43+0000 lvl=info msg="join connections" obj=join id=43cc0a7fe6a0 l=[::1]:25565 r=188.66.213.236:45927
t=2022-07-06T09:47:44+0000 lvl=info msg="join connections" obj=join id=bae687e023fc l=[::1]:25565 r=188.66.213.236:45928
t=2022-07-06T09:51:56+0000 lvl=info msg="join connections" obj=join id=79ed5c867de2 l=[::1]:25565 r=188.66.213.236:46266
t=2022-07-06T09:51:57+0000 lvl=info msg="join connections" obj=join id=ca28f967452c l=[::1]:25565 r=188.66.213.236:4279
t=2022-07-06T09:52:11+0000 lvl=info msg="join connections" obj=join id=26725c83da2b l=[::1]:25565 r=188.66.213.236:46287
t=2022-07-06T09:52:26+0000 lvl=info msg="join connections" obj=join id=379ca47140ff l=[::1]:25565 r=188.66.213.236:46309
t=2022-07-06T09:52:41+0000 lvl=info msg="join connections" obj=join id=de14e016f8aa l=[::1]:25565 r=188.66.213.236:46329
t=2022-07-06T09:52:56+0000 lvl=info msg="join connections" obj=join id=cb604e81e197 l=[::1]:25565 r=188.66.213.236:46346
t=2022-07-06T09:53:12+0000 lvl=info msg="join connections" obj=join id=906c631343e1 l=[::1]:25565 r=188.66.213.236:46364
t=2022-07-06T09:53:26+0000 lvl=info msg="join connections" obj=join id=c061302dac5f l=[::1]:25565 r=188.66.213.236:46381
t=2022-07-06T09:53:41+0000 lvl=info msg="join connections" obj=join id=bd0a643c5e0b l=[::1]:25565 r=188.66.213.236:46398
t=2022-07-06T09:53:57+0000 lvl=info msg="join connections" obj=join id=bebc184825b7 l=[::1]:25565 r=188.66.213.236:46416
t=2022-07-06T09:54:12+0000 lvl=info msg="join connections" obj=join id=7a83a6ff292f l=[::1]:25565 r=188.66.213.236:46432
t=2022-07-06T09:54:27+0000 lvl=info msg="join connections" obj=join id=73bff4a0fd0e l=[::1]:25565 r=188.66.213.236:46448
t=2022-07-06T09:54:42+0000 lvl=info msg="join connections" obj=join id=4c00f5c773ef l=[::1]:25565 r=188.66.213.236:46467
t=2022-07-06T09:54:57+0000 lvl=info msg="join connections" obj=join id=bc09b5bdfa48 l=[::1]:25565 r=188.66.213.236:46485
t=2022-07-06T09:55:12+0000 lvl=info msg="join connections" obj=join id=5ed1d3c8ba1c l=[::1]:25565 r=188.66.213.236:46502
t=2022-07-06T09:55:27+0000 lvl=info msg="join connections" obj=join id=64dc58391f88 l=[::1]:25565 r=188.66.213.236:46518
t=2022-07-06T09:55:42+0000 lvl=info msg="join connections" obj=join id=881672cf8cd3 l=[::1]:25565 r=188.66.213.236:46534
t=2022-07-06T09:55:57+0000 lvl=info msg="join connections" obj=join id=7e713597a3c0 l=[::1]:25565 r=188.66.213.236:46551
t=2022-07-06T09:56:12+0000 lvl=info msg="join connections" obj=join id=99ee2e842273 l=[::1]:25565 r=188.66.213.236:46569
t=2022-07-06T09:56:27+0000 lvl=info msg="join connections" obj=join id=f457df8359b5 l=[::1]:25565 r=188.66.213.236:46586
t=2022-07-06T09:56:42+0000 lvl=info msg="join connections" obj=join id=732d36c5c53f l=[::1]:25565 r=188.66.213.236:46602
t=2022-07-06T09:56:57+0000 lvl=info msg="join connections" obj=join id=459fb3c7026a l=[::1]:25565 r=188.66.213.236:46619
t=2022-07-06T09:57:12+0000 lvl=info msg="join connections" obj=join id=eb96a608bdc3 l=[::1]:25565 r=188.66.213.236:46635
t=2022-07-06T09:57:27+0000 lvl=info msg="join connections" obj=join id=d183d05e1f34 l=[::1]:25565 r=188.66.213.236:46652
t=2022-07-06T09:57:42+0000 lvl=info msg="join connections" obj=join id=a1dcfa23961c l=[::1]:25565 r=188.66.213.236:46670
t=2022-07-06T09:57:57+0000 lvl=info msg="join connections" obj=join id=a31bb198c471 l=[::1]:25565 r=188.66.213.236:46689
t=2022-07-06T09:58:12+0000 lvl=info msg="join connections" obj=join id=9b224255618a l=[::1]:25565 r=188.66.213.236:46708
t=2022-07-06T09:58:27+0000 lvl=info msg="join connections" obj=join id=f463e160c432 l=[::1]:25565 r=188.66.213.236:46726
t=2022-07-06T09:58:42+0000 lvl=info msg="join connections" obj=join id=bef2bc69fef5 l=[::1]:25565 r=188.66.213.236:46743
t=2022-07-06T09:58:57+0000 lvl=info msg="join connections" obj=join id=3bf4c87e6523 l=[::1]:25565 r=188.66.213.236:46761
t=2022-07-06T09:59:12+0000 lvl=info msg="join connections" obj=join id=98247a2166aa l=[::1]:25565 r=188.66.213.236:46777
t=2022-07-06T09:59:27+0000 lvl=info msg="join connections" obj=join id=42c3304db755 l=[::1]:25565 r=188.66.213.236:46793
t=2022-07-06T09:59:42+0000 lvl=info msg="join connections" obj=join id=cccd88a0a4b0 l=[::1]:25565 r=188.66.213.236:46811
t=2022-07-06T09:59:57+0000 lvl=info msg="join connections" obj=join id=fd684ee44146 l=[::1]:25565 r=188.66.213.236:46830
t=2022-07-06T10:00:12+0000 lvl=info msg="join connections" obj=join id=bd8051a45e08 l=[::1]:25565 r=188.66.213.236:46849
t=2022-07-06T10:00:27+0000 lvl=info msg="join connections" obj=join id=4d8b7cf201da l=[::1]:25565 r=188.66.213.236:46868
t=2022-07-06T10:00:42+0000 lvl=info msg="join connections" obj=join id=170f48e8f6fe l=[::1]:25565 r=188.66.213.236:46885
t=2022-07-06T10:00:57+0000 lvl=info msg="join connections" obj=join id=f5ec9a8ab65f l=[::1]:25565 r=188.66.213.236:46901
t=2022-07-06T10:01:12+0000 lvl=info msg="join connections" obj=join id=b116e5bb2ee5 l=[::1]:25565 r=188.66.213.236:46917
t=2022-07-06T10:01:27+0000 lvl=info msg="join connections" obj=join id=cb7cf4cac508 l=[::1]:25565 r=188.66.213.236:46934
t=2022-07-06T10:01:42+0000 lvl=info msg="join connections" obj=join id=c350120b2994 l=[::1]:25565 r=188.66.213.236:46951
t=2022-07-06T10:01:57+0000 lvl=info msg="join connections" obj=join id=03239bc27685 l=[::1]:25565 r=188.66.213.236:46971
t=2022-07-06T10:02:07+0000 lvl=info msg="join connections" obj=join id=5f4e9a5b0aed l=[::1]:25565 r=103.160.194.219:11888
t=2022-07-06T10:02:12+0000 lvl=info msg="join connections" obj=join id=d1b028d9d0da l=[::1]:25565 r=188.66.213.236:46990
t=2022-07-06T10:02:27+0000 lvl=info msg="join connections" obj=join id=3d91aa4bfb5d l=[::1]:25565 r=188.66.213.236:47009
t=2022-07-06T10:02:42+0000 lvl=info msg="join connections" obj=join id=f6ffe9ae6923 l=[::1]:25565 r=188.66.213.236:60137
t=2022-07-06T10:02:58+0000 lvl=info msg="join connections" obj=join id=b11a7b6ce271 l=[::1]:25565 r=188.66.213.236:60154
t=2022-07-06T10:03:12+0000 lvl=info msg="join connections" obj=join id=64412741d0e0 l=[::1]:25565 r=188.66.213.236:60170
t=2022-07-06T10:03:27+0000 lvl=info msg="join connections" obj=join id=d6747a1a8117 l=[::1]:25565 r=188.66.213.236:60186
t=2022-07-06T10:03:42+0000 lvl=info msg="join connections" obj=join id=a2ad40c6e320 l=[::1]:25565 r=188.66.213.236:60203
t=2022-07-06T10:03:58+0000 lvl=info msg="join connections" obj=join id=3a485e0a70c7 l=[::1]:25565 r=188.66.213.236:60222
t=2022-07-06T10:04:13+0000 lvl=info msg="join connections" obj=join id=12adb94bdeb2 l=[::1]:25565 r=188.66.213.236:60241
t=2022-07-06T10:04:28+0000 lvl=info msg="join connections" obj=join id=de82d1d71345 l=[::1]:25565 r=188.66.213.236:60259
t=2022-07-06T10:04:43+0000 lvl=info msg="join connections" obj=join id=34c4096e46e5 l=[::1]:25565 r=188.66.213.236:60276
t=2022-07-06T10:04:58+0000 lvl=info msg="join connections" obj=join id=1bdf652fa4c4 l=[::1]:25565 r=188.66.213.236:60293
t=2022-07-06T10:05:13+0000 lvl=info msg="join connections" obj=join id=8c0c20513f6a l=[::1]:25565 r=188.66.213.236:60309
t=2022-07-06T10:05:28+0000 lvl=info msg="join connections" obj=join id=ccebee4cef61 l=[::1]:25565 r=188.66.213.236:60326
t=2022-07-06T10:05:43+0000 lvl=info msg="join connections" obj=join id=d77cbbaef5df l=[::1]:25565 r=188.66.213.236:60342
t=2022-07-06T10:05:58+0000 lvl=info msg="join connections" obj=join id=e2461bdd9129 l=[::1]:25565 r=188.66.213.236:60359
t=2022-07-06T10:06:13+0000 lvl=info msg="join connections" obj=join id=485340a39baf l=[::1]:25565 r=188.66.213.236:60378
t=2022-07-06T10:06:28+0000 lvl=info msg="join connections" obj=join id=08ec88176ecd l=[::1]:25565 r=188.66.213.236:60394
t=2022-07-06T10:06:43+0000 lvl=info msg="join connections" obj=join id=c650e65f6eac l=[::1]:25565 r=188.66.213.236:60411
t=2022-07-06T10:06:58+0000 lvl=info msg="join connections" obj=join id=bd6e76809bda l=[::1]:25565 r=188.66.213.236:60427
t=2022-07-06T10:07:13+0000 lvl=info msg="join connections" obj=join id=a3aa359ba4dc l=[::1]:25565 r=188.66.213.236:60444
t=2022-07-06T10:07:28+0000 lvl=info msg="join connections" obj=join id=fad036c313b4 l=[::1]:25565 r=188.66.213.236:60460
t=2022-07-06T10:07:43+0000 lvl=info msg="join connections" obj=join id=16cba6fb18dc l=[::1]:25565 r=188.66.213.236:60477
t=2022-07-06T10:07:58+0000 lvl=info msg="join connections" obj=join id=18584054f6f2 l=[::1]:25565 r=188.66.213.236:60493
t=2022-07-06T10:08:13+0000 lvl=info msg="join connections" obj=join id=0d185321f49f l=[::1]:25565 r=188.66.213.236:60510
t=2022-07-06T10:08:28+0000 lvl=info msg="join connections" obj=join id=2cf447255350 l=[::1]:25565 r=188.66.213.236:60527
t=2022-07-06T10:08:43+0000 lvl=info msg="join connections" obj=join id=22b72de16a98 l=[::1]:25565 r=188.66.213.236:60543
t=2022-07-06T10:08:58+0000 lvl=info msg="join connections" obj=join id=1ee24bfd95c4 l=[::1]:25565 r=188.66.213.236:60560
t=2022-07-06T10:09:13+0000 lvl=info msg="join connections" obj=join id=e504520bccc7 l=[::1]:25565 r=188.66.213.236:60577
t=2022-07-06T10:09:28+0000 lvl=info msg="join connections" obj=join id=6daf8d8a0d23 l=[::1]:25565 r=188.66.213.236:60593
t=2022-07-06T10:09:44+0000 lvl=info msg="join connections" obj=join id=d616c5c8ba26 l=[::1]:25565 r=188.66.213.236:60610
t=2022-07-06T10:09:58+0000 lvl=info msg="join connections" obj=join id=31dc9aa2b0c3 l=[::1]:25565 r=188.66.213.236:60625
t=2022-07-06T10:10:13+0000 lvl=info msg="join connections" obj=join id=d9d69948ba92 l=[::1]:25565 r=188.66.213.236:60642
t=2022-07-06T10:10:28+0000 lvl=info msg="join connections" obj=join id=60463dc7cd0d l=[::1]:25565 r=188.66.213.236:60660
t=2022-07-06T10:10:43+0000 lvl=info msg="join connections" obj=join id=ffc3aa1b8ac3 l=[::1]:25565 r=188.66.213.236:60677
t=2022-07-06T10:10:58+0000 lvl=info msg="join connections" obj=join id=943f0c1fb7cc l=[::1]:25565 r=188.66.213.236:60693
t=2022-07-06T10:11:13+0000 lvl=info msg="join connections" obj=join id=acb640079c41 l=[::1]:25565 r=188.66.213.236:60709
t=2022-07-06T10:11:28+0000 lvl=info msg="join connections" obj=join id=04ec2199c814 l=[::1]:25565 r=188.66.213.236:60726
t=2022-07-06T10:11:43+0000 lvl=info msg="join connections" obj=join id=5a726d28c8df l=[::1]:25565 r=188.66.213.236:60742
t=2022-07-06T10:11:58+0000 lvl=info msg="join connections" obj=join id=d8066a9f9775 l=[::1]:25565 r=188.66.213.236:60759
t=2022-07-06T10:12:13+0000 lvl=info msg="join connections" obj=join id=b7ad86b9154e l=[::1]:25565 r=188.66.213.236:60775
t=2022-07-06T10:12:28+0000 lvl=info msg="join connections" obj=join id=222262e51534 l=[::1]:25565 r=188.66.213.236:60802
t=2022-07-06T10:12:43+0000 lvl=info msg="join connections" obj=join id=a94011145df4 l=[::1]:25565 r=188.66.213.236:60819
t=2022-07-06T10:12:58+0000 lvl=info msg="join connections" obj=join id=ddc041bafbcf l=[::1]:25565 r=188.66.213.236:60835
t=2022-07-06T10:13:13+0000 lvl=info msg="join connections" obj=join id=57db266a4942 l=[::1]:25565 r=188.66.213.236:60851
t=2022-07-06T10:13:28+0000 lvl=info msg="join connections" obj=join id=b1e9d166ddd7 l=[::1]:25565 r=188.66.213.236:60869
t=2022-07-06T10:13:43+0000 lvl=info msg="join connections" obj=join id=bfd21c454ccb l=[::1]:25565 r=188.66.213.236:60886
t=2022-07-06T10:13:58+0000 lvl=info msg="join connections" obj=join id=53f2618c676a l=[::1]:25565 r=188.66.213.236:60903
t=2022-07-06T10:14:14+0000 lvl=info msg="join connections" obj=join id=1e04e21dff51 l=[::1]:25565 r=188.66.213.236:60920
t=2022-07-06T10:14:28+0000 lvl=info msg="join connections" obj=join id=5489abef3d5e l=[::1]:25565 r=188.66.213.236:60936
t=2022-07-06T10:14:43+0000 lvl=info msg="join connections" obj=join id=d57303ea80a5 l=[::1]:25565 r=188.66.213.236:60954
t=2022-07-06T10:14:58+0000 lvl=info msg="join connections" obj=join id=5f698ab5549d l=[::1]:25565 r=188.66.213.236:60969
t=2022-07-06T10:15:13+0000 lvl=info msg="join connections" obj=join id=6ed9771f17d6 l=[::1]:25565 r=188.66.213.236:60987
t=2022-07-06T10:15:26+0000 lvl=info msg="join connections" obj=join id=ee511da16b9a l=[::1]:25565 r=103.160.194.219:11886
t=2022-07-06T10:15:28+0000 lvl=info msg="join connections" obj=join id=ba5e485b6fcb l=[::1]:25565 r=103.160.194.219:6918
t=2022-07-06T10:15:29+0000 lvl=info msg="join connections" obj=join id=3a5fbcb4ff42 l=[::1]:25565 r=188.66.213.236:61003
t=2022-07-06T10:15:44+0000 lvl=info msg="join connections" obj=join id=e0604e064977 l=[::1]:25565 r=188.66.213.236:61020
t=2022-07-06T10:15:44+0000 lvl=info msg="join connections" obj=join id=2fc136b56d8e l=[::1]:25565 r=103.160.194.219:6929
t=2022-07-06T10:15:59+0000 lvl=info msg="join connections" obj=join id=94ba79d79a80 l=[::1]:25565 r=188.66.213.236:61036
t=2022-07-06T10:16:14+0000 lvl=info msg="join connections" obj=join id=14599539be8d l=[::1]:25565 r=188.66.213.236:61055
t=2022-07-06T10:16:29+0000 lvl=info msg="join connections" obj=join id=b81913d84fb7 l=[::1]:25565 r=188.66.213.236:61071
t=2022-07-06T10:16:44+0000 lvl=info msg="join connections" obj=join id=861d5f815214 l=[::1]:25565 r=188.66.213.236:61088
t=2022-07-06T10:16:59+0000 lvl=info msg="join connections" obj=join id=9b486ca25f25 l=[::1]:25565 r=188.66.213.236:61104
t=2022-07-06T10:17:14+0000 lvl=info msg="join connections" obj=join id=95311dc866b6 l=[::1]:25565 r=188.66.213.236:61120
t=2022-07-06T10:17:29+0000 lvl=info msg="join connections" obj=join id=b8b9acb4a364 l=[::1]:25565 r=188.66.213.236:61137
t=2022-07-06T10:17:44+0000 lvl=info msg="join connections" obj=join id=a14b59c19b31 l=[::1]:25565 r=188.66.213.236:61153
